suite,problem,maximize,objective,feasible,proven,elapsedMs,budgetMs,format,structure,numGlobal,numLinear,boolHeavy
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__032.smt2.slack,false,,false,true,18,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__033.smt2.slack,false,,false,true,23,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__034.smt2.slack,false,,false,true,30,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem_2__035.smt2.slack,false,,false,true,32,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__001.smt2.slack,false,,true,true,24,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__002.smt2.slack,false,,true,true,17,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__003.smt2.slack,false,,true,true,17,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__005.smt2.slack,false,,true,true,17,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__006.smt2.slack,false,,true,true,21,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__007.smt2.slack,false,,true,true,33,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__008.smt2.slack,false,,true,true,31,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__009.smt2.slack,false,,true,true,15,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__010.smt2.slack,false,,true,true,16,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__012.smt2.slack,false,,true,true,29,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__013.smt2.slack,false,,true,true,16,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__014.smt2.slack,false,,true,true,23,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__015.smt2.slack,false,,true,true,34,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__016.smt2.slack,false,,false,true,24,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__017.smt2.slack,false,,false,true,32,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__018.smt2.slack,false,,true,true,32,10000,smtlib,arithmetic,0,0,false
smtlib-qf_lia,20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/10-vars/v10_problem__019.smt2.slack,false,,true,true,18,10000,smtlib,arithmetic,0,0,false
