suite,problem,maximize,objective,feasible,proven,elapsedMs,solver,budgetMs,format,structure,numGlobal,numLinear,boolHeavy
hakank,before_and_after/before_and_after,false,,true,false,252,cp-sat,10000,minizinc,global,3,0,false
hakank,bertrand_russell_puzzle/bertrand_russell_puzzle,false,,true,false,233,cp-sat,10000,minizinc,global,1,0,false
hakank,best_shuffle/best_shuffle,false,,true,false,291,cp-sat,10000,minizinc,global,3,1,false
hakank,between_min_max/between_min_max,false,,true,false,246,cp-sat,10000,minizinc,global,4,0,false
hakank,bin_packing/bin_packing2,false,,true,false,151,cp-sat,10000,minizinc,global,5,1,false
hakank,binary_matrix2array/binary_matrix2array,false,,true,false,131,cp-sat,10000,minizinc,linear,0,2,false
hakank,binary_puzzle/binary_puzzle,false,,true,false,214,cp-sat,10000,minizinc,global,4,2,false
hakank,binary_sudoku/binary_sudoku,false,,true,false,497,cp-sat,10000,minizinc,linear,0,3,false
hakank,binary_tree/binary_tree,false,,true,false,586,cp-sat,10000,minizinc,global,2,0,false
hakank,binero/binero,false,,true,false,400,cp-sat,10000,minizinc,global,5,3,false
hakank,binoxxo/binoxxo,false,,true,false,1541,cp-sat,10000,minizinc,linear,0,6,false
hakank,bipartite/bipartite,false,,true,false,256,cp-sat,10000,minizinc,pseudo-boolean,0,0,true
hakank,birthdays/birthdays_2010,false,,true,false,127,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,birthdays_coins/birthdays_coins,false,,true,false,109,cp-sat,10000,minizinc,linear,0,2,false
hakank,bit_vector/bit_vector1,false,,true,false,169,cp-sat,10000,minizinc,linear,0,1,false
hakank,blending_problem/blending_problem,false,180.0,true,true,5,cp-sat,10000,minizinc,global,2,5,false
hakank,blueberry_muffins/blueberry_muffins,false,,true,false,225,cp-sat,10000,minizinc,global,3,0,false
hakank,bobsledders_puzzle/bobsledders_puzzle,false,,true,false,255,cp-sat,10000,minizinc,global,4,0,false
hakank,book_buy/book_buy,false,,true,false,148,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,bpp/bpp,false,3.0,true,true,10,cp-sat,10000,minizinc,linear,0,9,false
hakank,bracket_partitioning/bracket_partitioning,true,7.0,true,true,1504,cp-sat,10000,minizinc,global,2,6,false
hakank,breaking_news/breaking_news,false,,true,false,200,cp-sat,10000,minizinc,global,2,0,false
hakank,bridge_and_torch_problem/bridge_and_torch_problem,false,2.0,true,true,3,cp-sat,10000,minizinc,global,2,2,false
hakank,bridges_to_somewhere/bridges_to_somewhere,false,58.0,true,true,21,cp-sat,10000,minizinc,global,2,1,false
hakank,broken_weights/broken_weights,false,27.0,true,true,190,cp-sat,10000,minizinc,linear,0,3,false
hakank,buckets/buckets,false,6.0,true,true,283,cp-sat,10000,minizinc,global,2,7,false
hakank,building_a_house/building_a_house,false,5000.0,true,true,15,cp-sat,10000,minizinc,global,2,1,false
hakank,building_a_house/building_a_house2,false,20.0,true,true,7,cp-sat,10000,minizinc,global,2,1,false
hakank,building_blocks/building_blocks,false,,true,false,290,cp-sat,10000,minizinc,global,2,1,false
hakank,bus/bus,false,,true,false,117,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,bus_scheduling/bus_scheduling,false,26.0,true,true,3,cp-sat,10000,minizinc,global,1,2,false
hakank,calculs_d_enfer/calculs_d_enfer,false,16.0,true,true,418,cp-sat,10000,minizinc,global,3,0,false
hakank,calculs_d_enfer/calculs_d_enfer2,false,16.0,true,true,381,cp-sat,10000,minizinc,global,3,1,false
hakank,calvin_puzzle/calvin_puzzle,false,,true,false,1373,cp-sat,10000,minizinc,global,1,0,false
hakank,candies/candies,false,2306.0,true,true,23,cp-sat,10000,minizinc,global,1,1,false
hakank,capital_budget/capital_budget2,true,42.0,true,true,2,cp-sat,10000,minizinc,linear,0,3,false
hakank,car/car,false,82.0,true,true,26,cp-sat,10000,minizinc,linear,0,5,false
hakank,car_painting/car_painting,false,5.0,true,true,40,cp-sat,10000,minizinc,global,3,2,false
hakank,car_talk_odometer/car_talk_odometer,false,11.0,true,true,197,cp-sat,10000,minizinc,linear,0,1,false
hakank,cardinality_atleast/cardinality_atleast,false,,true,false,147,cp-sat,10000,minizinc,global,2,1,false
hakank,cardinality_atmost/cardinality_atmost,false,,true,false,143,cp-sat,10000,minizinc,global,2,1,false
hakank,cardinality_atmost_partition/cardinality_atmost_partition,false,,true,false,215,cp-sat,10000,minizinc,global,2,1,false
hakank,carpool_fairness/carpool_fairness,false,3.0,true,true,14,cp-sat,10000,minizinc,global,2,13,false
hakank,cashier_change/cashier_change,false,,true,false,235,cp-sat,10000,minizinc,linear,0,4,false
hakank,catalan_numbers/catalan_numbers,false,,true,false,153,cp-sat,10000,minizinc,linear,0,2,false
hakank,chain_of_primes/chain_of_primes,false,,true,false,279,cp-sat,10000,minizinc,global,1,0,false
hakank,chandelier_balancing/chandelier_balancing,false,,true,false,308,cp-sat,10000,minizinc,global,1,0,false
hakank,change/change,false,,true,false,124,cp-sat,10000,minizinc,linear,0,1,false
hakank,change_pair/change_pair,false,,true,false,139,cp-sat,10000,minizinc,linear,0,1,false
hakank,change_partition/change_partition,false,,true,false,221,cp-sat,10000,minizinc,linear,0,1,false
hakank,changepoint_detection_int/changepoint_detection_int,false,106.0,true,true,418,cp-sat,10000,minizinc,linear,0,8,false
hakank,checker_puzzle/checker_puzzle,false,,true,false,152,cp-sat,10000,minizinc,global,1,4,false
hakank,chessset/chessset,true,1330.0,true,true,7,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,chinese_remainder_problem/chinese_remainder_problem,false,1808.0,true,true,1,cp-sat,10000,minizinc,arithmetic,0,0,false
hakank,choose_your_crew/choose_your_crew,false,268.0,true,true,240,cp-sat,10000,minizinc,global,2,5,false
hakank,choosing_teams/choosing_teams,false,,true,false,339,cp-sat,10000,minizinc,global,1,0,false
hakank,choosing_teams/choosing_teams2,false,,true,false,272,cp-sat,10000,minizinc,global,1,0,false
hakank,circling_squares/circling_squares,false,,true,false,462,cp-sat,10000,minizinc,global,1,0,false
hakank,circuit_test/circuit_test,false,,true,false,167,cp-sat,10000,minizinc,global,4,0,false
hakank,circular/circular,false,,true,false,259,cp-sat,10000,minizinc,global,1,0,false
hakank,circular_change/circular_change,false,,true,false,102,cp-sat,10000,minizinc,global,1,1,false
hakank,circular_except/circular_except_0,false,,true,false,286,cp-sat,10000,minizinc,global,2,1,false
hakank,classify_department_employees/classify_department_employees,false,,true,false,203,cp-sat,10000,minizinc,linear,0,2,false
hakank,climbing_stairs/climbing_stairs,false,,true,false,279,cp-sat,10000,minizinc,linear,0,2,false
hakank,clique/clique,true,6.0,true,true,845,cp-sat,10000,minizinc,arithmetic,0,0,false
